en_name,jp_name,cuisine,rating,price,url
DIN TAI FUNG,鼎泰豊 札幌ステラプレイス店,小籠包/飲茶・點心/台灣料理,3.16,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1069343/
Paul's Cafe,ポールズカフェ,啤酒館、啤酒餐廳/西式各國料理（その他）/啤酒吧,3.47,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000588/
Rice noodle comen,rice noodle comen,蕎麥・烏龍・麵類（其他）,3.21,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1072606/
Kaisenshokudoukai,海鮮食堂 海 札幌駅北口店,魚類料理・海鮮料理/日式小酒館/定食、食堂,3.26,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1004395/
i-MEAT DINING,アイ・ミートダイニング,可樂餅・油炸食品,3.32,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029250/
Uomasa,魚政,其他,3.14,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1042692/
Suwitoteburu,スウィートテーブル 札幌エスタ店,蛋糕,3.22,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1042651/
Ramensora,らーめん空 札幌ら～めん共和国店,拉麵/餃子/丼類（其他）,3.53,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1030156/
RUTH LOWE,ルース・ロウ 東急店,義式/披薩/義大利麵,3.43,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1007498/
Senchuriroiyaruhoteru,センチュリーロイヤルホテル,旅館・客棧（其他）,3.28,"￥10,000～￥14,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1034658/
CRAFT BEER BAR hininitsuka,CRAFT BEER BAR ヒニニツカ,啤酒吧,3.17,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1070338/
Jeiarutawahoterunikkousapporo,JRタワーホテル日航札幌,旅館・客棧（其他）,3.28,"￥6,000～￥7,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1008786/
